REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
GLOBAL,PWRLDSBGDXX,LDSBGDXX01,1,0
GLOBAL,PWRLDSBGDXX,LDSBGDXX01,2,1
GLOBAL,PWRLDSBTNXX,LDSBTNXX01,1,0
GLOBAL,PWRLDSBTNXX,LDSBTNXX01,2,1
GLOBAL,PWRLDSINDEA,LDSINDEA01,1,0
GLOBAL,PWRLDSINDEA,LDSINDEA01,2,1
GLOBAL,PWRLDSINDNE,LDSINDNE01,1,0
GLOBAL,PWRLDSINDNE,LDSINDNE01,2,1
GLOBAL,PWRLDSINDNO,LDSINDNO01,1,0
GLOBAL,PWRLDSINDNO,LDSINDNO01,2,1
GLOBAL,PWRLDSINDSO,LDSINDSO01,1,0
GLOBAL,PWRLDSINDSO,LDSINDSO01,2,1
GLOBAL,PWRLDSINDWE,LDSINDWE01,1,0
GLOBAL,PWRLDSINDWE,LDSINDWE01,2,1
GLOBAL,PWRLDSLKAXX,LDSLKAXX01,1,0
GLOBAL,PWRLDSLKAXX,LDSLKAXX01,2,1
GLOBAL,PWRLDSNPLXX,LDSNPLXX01,1,0
GLOBAL,PWRLDSNPLXX,LDSNPLXX01,2,1
GLOBAL,PWRSDSBGDXX,SDSBGDXX01,1,0
GLOBAL,PWRSDSBGDXX,SDSBGDXX01,2,1
GLOBAL,PWRSDSBTNXX,SDSBTNXX01,1,0
GLOBAL,PWRSDSBTNXX,SDSBTNXX01,2,1
GLOBAL,PWRSDSINDEA,SDSINDEA01,1,0
GLOBAL,PWRSDSINDEA,SDSINDEA01,2,1
GLOBAL,PWRSDSINDNE,SDSINDNE01,1,0
GLOBAL,PWRSDSINDNE,SDSINDNE01,2,1
GLOBAL,PWRSDSINDNO,SDSINDNO01,1,0
GLOBAL,PWRSDSINDNO,SDSINDNO01,2,1
GLOBAL,PWRSDSINDSO,SDSINDSO01,1,0
GLOBAL,PWRSDSINDSO,SDSINDSO01,2,1
GLOBAL,PWRSDSINDWE,SDSINDWE01,1,0
GLOBAL,PWRSDSINDWE,SDSINDWE01,2,1
GLOBAL,PWRSDSLKAXX,SDSLKAXX01,1,0
GLOBAL,PWRSDSLKAXX,SDSLKAXX01,2,1
GLOBAL,PWRSDSNPLXX,SDSNPLXX01,1,0
GLOBAL,PWRSDSNPLXX,SDSNPLXX01,2,1
